Epoch,Midtime,Midtime_err_minus_days,Midtime_err_plus_days,Midtime_err_minus_sec,Midtime_err_plus_sec,Source
-2629,2455152.73184,0.00093,0.00093,80.35,80.35,2022ApJS..259...62I; 2016AcA....66...55M; 2011ApJ...741..114M
-2494,2455352.83535,0.00029,0.00029,25.06,25.06,2022ApJS..259...62I; 2016AcA....66...55M; 2011ApJ...741..114M
-2432,2455444.735,0.00053,0.00053,45.79,45.79,2022ApJS..259...62I; 2016AcA....66...55M; 2011ApJ...741..114M
-2374,2455530.70451,0.00056,0.00056,48.38,48.38,2022ApJS..259...62I; 2016AcA....66...55M; 2011ApJ...741..114M
-2192,2455800.4747,0.00024,0.00024,20.74,20.74,2022ApJS..259...62I; 2016AcA....66...55M; 2015MNRAS.448.2617M
-1935,2456181.41212,0.00029,0.00029,25.06,25.06,2022ApJS..259...62I; 2016AcA....66...55M; 2015MNRAS.448.2617M
-1875,2456270.3438575845,0.0006,0.0006,51.84,51.84,TRESCA
-1787,2456400.7838276112,0.00056,0.00056,48.38,48.38,TRESCA
-1748,2456458.59213,0.00049,0.00049,42.34,42.34,2022ApJS..259...62I; 2016AcA....66...55M; 2015MNRAS.448.2617M
-1717,2456504.54182,0.0003,0.0003,25.92,25.92,2022ApJS..259...62I; 2016AcA....66...55M; 2015MNRAS.448.2617M
-1692,2456541.597697576,0.00067,0.00067,57.89,57.89,TRESCA
-1686,2456550.49157,0.00021,0.00021,18.14,18.14,2022ApJS..259...62I; 2016AcA....66...55M; 2015MNRAS.448.2617M
-1680,2456559.3843975742,0.00056,0.00056,48.38,48.38,TRESCA
-1671,2456572.7236,0.0016,0.0016,138.24,138.24,2022ApJS..259...62I; 2018MNRAS.480..291S
-1655,2456596.38431,0.00065,0.00065,56.16,56.16,2022ApJS..259...62I; 2018MNRAS.480..291S
-1653,2456599.4056,0.0011,0.0011,95.04,95.04,2022ApJS..259...62I; 2018MNRAS.480..291S
-1649,2456605.33486,0.00023,0.00023,19.87,19.87,2022ApJS..259...62I; 2016AcA....66...55M
-1647,2456608.2995475777,0.00055,0.00055,47.52,47.52,TRESCA
-1576,2456713.5388,0.0021,0.0021,181.44,181.44,2022ApJS..259...62I; 2018MNRAS.480..291S
-1541,2456765.41798,0.00065,0.00065,56.16,56.16,2022ApJS..259...62I; 2018MNRAS.480..291S
-1489,2456842.494787593,0.00072,0.00072,62.21,62.21,TRESCA
-1460,2456885.47868758,0.00062,0.00062,53.57,53.57,TRESCA
-1456,2456891.40861,0.00044,0.00044,38.02,38.02,2022ApJS..259...62I; 2016AcA....66...55M
-1429,2456931.43084,0.00068,0.00068,58.75,58.75,2022ApJS..259...62I; 2018MNRAS.480..291S
-1427,2456934.3945,0.0004,0.0004,34.56,34.56,2022ApJS..259...62I; 2018MNRAS.480..291S
-1427,2456934.39484,0.00063,0.00063,54.43,54.43,2022ApJS..259...62I; 2018MNRAS.480..291S
-1400,2456974.4165175776,0.00065,0.00065,56.16,56.16,TRESCA
-1336,2457069.27778,0.00085,0.00085,73.44,73.44,2022ApJS..259...62I; 2018MNRAS.480..291S
-1321,2457091.5113,0.0007,0.0007,60.48,60.48,2022ApJS..259...62I; 2018MNRAS.480..291S
-1317,2457097.440017611,0.00073,0.00073,63.07,63.07,TRESCA
-1274,2457161.17656,0.00067,0.00067,57.89,57.89,2022ApJS..259...62I; 2018MNRAS.480..291S
-1267,2457171.5535576036,0.00044,0.00044,38.02,38.02,TRESCA
-1267,2457171.55368,0.00064,0.00064,55.3,55.3,2022ApJS..259...62I; 2018MNRAS.480..291S
-1265,2457174.518437603,0.00055,0.00055,47.52,47.52,TRESCA
-1255,2457189.33902,0.00078,0.00078,67.39,67.39,2022ApJS..259...62I; 2018MNRAS.480..291S
-1253,2457192.3031,0.0016,0.0016,138.24,138.24,2022ApJS..259...62I; 2018MNRAS.480..291S
-1238,2457214.5399791645,0.00028,0.00028,24.19,24.19,TRESCA
-1236,2457217.5028391634,0.00067,0.00067,57.89,57.89,TRESCA
-1234,2457220.466939163,0.00039,0.00039,33.7,33.7,TRESCA
-1234,2457220.4684891626,0.00069,0.00069,59.62,59.62,TRESCA
-1232,2457223.43238,0.00087,0.00087,75.17,75.17,2022ApJS..259...62I; 2018MNRAS.480..291S
-1213,2457251.593499154,0.00073,0.00073,63.07,63.07,TRESCA
-1211,2457254.5580791533,0.00068,0.00068,58.75,58.75,TRESCA
-1207,2457260.48794,0.00034,0.00034,29.38,29.38,2022ApJS..259...62I; 2016AcA....66...55M
-1207,2457260.489029152,0.00036,0.00036,31.1,31.1,TRESCA
-1205,2457263.4525891514,0.0005,0.0005,43.2,43.2,TRESCA
-1203,2457266.41639,0.0013,0.0013,112.32,112.32,2022ApJS..259...62I; 2018MNRAS.480..291S
-1201,2457269.38181915,0.00053,0.00053,45.79,45.79,TRESCA
-1201,2457269.38183,0.00053,0.00053,45.79,45.79,2022ApJS..259...62I; 2016AcA....66...55M
-1172,2457312.3670891477,0.00064,0.00064,55.3,55.3,TRESCA
-1070,2457463.554519185,0.00062,0.00062,53.57,53.57,TRESCA
-1068,2457466.51988,0.00043,0.00043,37.15,37.15,2022ApJS..259...62I; 2018MNRAS.480..291S
-1066,2457469.48333,0.00073,0.00073,63.07,63.07,2022ApJS..259...62I; 2018MNRAS.480..291S
-1062,2457475.41258,0.00066,0.00066,57.02,57.02,2022ApJS..259...62I; 2018MNRAS.480..291S
-1058,2457481.34368,0.00089,0.00089,76.9,76.9,2022ApJS..259...62I; 2018MNRAS.480..291S
-1041,2457506.531309184,0.00048,0.00048,41.47,41.47,TRESCA
-1012,2457549.52692,0.0004,0.0004,34.56,34.56,2022ApJS..259...62I; 2018MNRAS.480..291S
-1001,2457565.82921,0.00057,0.00057,49.25,49.25,2022ApJS..259...62I; 2018MNRAS.480..291S
-985,2457589.546879161,0.00055,0.00055,47.52,47.52,TRESCA
-981,2457595.47545,0.00086,0.00086,74.3,74.3,2022ApJS..259...62I; 2018MNRAS.480..291S
-981,2457595.4786391594,0.00067,0.00067,57.89,57.89,TRESCA
-979,2457598.43961,0.00057,0.00057,49.25,49.25,2022ApJS..259...62I; 2018MNRAS.480..291S
-977,2457601.40431,0.00067,0.00067,57.89,57.89,2022ApJS..259...62I; 2018MNRAS.480..291S
-968,2457614.74652,0.00057,0.00057,49.25,49.25,2022ApJS..259...62I; 2018MNRAS.480..291S
-950,2457641.425439149,0.00042,0.00042,36.29,36.29,TRESCA
-946,2457647.353439148,0.00042,0.00042,36.29,36.29,TRESCA
-917,2457690.33979,0.00061,0.00061,52.7,52.7,2022ApJS..259...62I; 2018MNRAS.480..291S
-917,2457690.339809149,0.00052,0.00052,44.93,44.93,TRESCA
-915,2457693.30435,0.0003,0.0003,25.92,25.92,2022ApJS..259...62I; 2018MNRAS.480..291S
-886,2457736.28968,0.00027,0.00027,23.33,23.33,2022ApJS..259...62I; 2018MNRAS.480..291S
-782,2457890.44423,0.00039,0.00039,33.7,33.7,2022ApJS..259...62I; 2018MNRAS.480..291S
-759,2457924.534430745,0.00068,0.00068,58.75,58.75,TRESCA
-751,2457936.3910207413,0.00052,0.00052,44.93,44.93,TRESCA
-747,2457942.3198107397,0.00053,0.00053,45.79,45.79,TRESCA
-744,2457946.767680738,0.00053,0.00053,45.79,45.79,TRESCA
-740,2457952.696480736,0.00038,0.00038,32.83,32.83,TRESCA
-733,2457963.072990733,0.00047,0.00047,40.61,40.61,TRESCA
-697,2458016.434890722,0.00061,0.00061,52.7,52.7,TRESCA
-695,2458019.3985307217,0.00063,0.00063,54.43,54.43,TRESCA
-687,2458031.2557207216,0.00045,0.00045,38.88,38.88,TRESCA
-670,2458056.451990723,0.00053,0.00053,45.79,45.79,TRESCA
-660,2458071.276530726,0.00049,0.00049,42.34,42.34,TRESCA
-531,2458262.4871607535,0.00067,0.00067,57.89,57.89,TRESCA
-508,2458296.5773207434,0.00056,0.00056,48.38,48.38,TRESCA
-508,2458296.577910743,0.00084,0.00084,72.58,72.58,TRESCA
-504,2458302.5068107415,0.00055,0.00055,47.52,47.52,TRESCA
-502,2458305.4703207402,0.00044,0.00044,38.02,38.02,TRESCA
-500,2458308.4363007396,0.00059,0.00059,50.98,50.98,TRESCA
-500,2458308.4366907394,0.00042,0.00042,36.29,36.29,TRESCA
-498,2458311.399530738,0.0005,0.0005,43.2,43.2,TRESCA
-488,2458326.2240507333,0.00044,0.00044,38.02,38.02,TRESCA
-477,2458342.526360729,0.0004,0.0004,34.56,34.56,TRESCA
-477,2458342.527610729,0.00031,0.00031,26.78,26.78,TRESCA
-446,2458388.477780721,0.00026,0.00026,22.46,22.46,TRESCA
-417,2458431.462360725,0.00056,0.00056,48.38,48.38,TRESCA
-411,2458440.3568307264,0.00067,0.00067,57.89,57.89,TRESCA
-280,2458634.5293707517,0.00059,0.00059,50.98,50.98,TRESCA
-280,2458634.5294807516,0.00063,0.00063,54.43,54.43,TRESCA
-278,2458637.495380751,0.00024,0.00024,20.74,20.74,TRESCA
-278,2458637.4954107506,0.00051,0.00051,44.06,44.06,TRESCA
-278,2458637.495500751,0.00047,0.00047,40.61,40.61,TRESCA
-253,2458674.55087,0.00024,0.00024,20.74,20.74,2022ApJS..259...62I; 2021A&A...656A..88M
-253,2458674.551970739,0.0006,0.0006,51.84,51.84,TRESCA
-247,2458683.4463307364,0.00054,0.00054,46.66,46.66,TRESCA
-222,2458720.50013,0.00012,0.00012,10.37,10.37,2022ApJS..259...62I; 2021A&A...656A..88M
-218,2458726.4301207247,0.00046,0.00046,39.74,39.74,TRESCA
-216,2458729.394750724,0.00041,0.00041,35.42,35.42,TRESCA
-216,2458729.395240724,0.00026,0.00026,22.46,22.46,TRESCA
-214,2458732.3604407236,0.00065,0.00065,56.16,56.16,TRESCA
-212,2458735.3223607233,0.00042,0.00042,36.29,36.29,TRESCA
-195,2458760.5221907212,0.00058,0.00058,50.11,50.11,TRESCA
-185,2458775.34333,0.00014,0.00014,12.1,12.1,2022ApJS..259...62I; 2021A&A...656A..88M
-156,2458818.3284,0.00023,0.00023,19.87,19.87,2022ApJS..259...62I; 2021A&A...656A..88M
-154,2458821.2931907307,0.00045,0.00045,38.88,38.88,TRESCA
-19,2459021.394730745,0.00074,0.00074,63.94,63.94,TRESCA
-2,2459046.59442,0.00014,0.00014,12.1,12.1,2022ApJS..259...62I; 2021A&A...656A..88M
0,2459049.5605007363,0.0005,0.0005,43.2,43.2,TRESCA
4,2459055.4874207345,0.00053,0.00053,45.79,45.79,TRESCA
4,2459055.48789,0.00016,0.00016,13.82,13.82,2022ApJS..259...62I; 2021A&A...656A..88M
6,2459058.45285,0.00027,0.00027,23.33,23.33,2022ApJS..259...62I; 2021A&A...656A..88M
31,2459095.50861,0.00017,0.00017,14.69,14.69,2022ApJS..259...62I; 2021A&A...656A..88M
33,2459098.473,0.00022,0.00022,19.01,19.01,2022ApJS..259...62I; 2021A&A...656A..88M
33,2459098.4738807236,0.00032,0.00032,27.65,27.65,TRESCA
35,2459101.43743,0.00031,0.00031,26.78,26.78,2022ApJS..259...62I; 2021A&A...656A..88M
35,2459101.4400407234,0.00054,0.00054,46.66,46.66,TRESCA
39,2459107.367210722,0.00035,0.00035,30.24,30.24,TRESCA
41,2459110.331150722,0.00054,0.00054,46.66,46.66,TRESCA
41,2459110.3339307224,0.00041,0.00041,35.42,35.42,TRESCA
60,2459138.4939107215,0.00061,0.00061,52.7,52.7,TRESCA
60,2459138.4946907214,0.0006,0.0006,51.84,51.84,TRESCA
62,2459141.4589407216,0.00031,0.00031,26.78,26.78,TRESCA
66,2459147.38708,0.00016,0.00016,13.82,13.82,2022ApJS..259...62I; 2021A&A...656A..88M
68,2459150.35166,0.0002,0.0002,17.28,17.28,2022ApJS..259...62I; 2021A&A...656A..88M
172,2459304.50364076,0.00052,0.00052,44.93,44.93,TRESCA
259,2459433.4611607306,0.00043,0.00043,37.15,37.15,TRESCA
290,2459479.409570722,0.00064,0.00064,55.3,55.3,TRESCA
292,2459482.374790722,0.00055,0.00055,47.52,47.52,TRESCA
294,2459485.3382507213,0.00056,0.00056,48.38,48.38,TRESCA
294,2459485.338840721,0.00032,0.00032,27.65,27.65,TRESCA
294,2459485.3388707214,0.00052,0.00052,44.93,44.93,TRESCA
319,2459522.3984807236,0.00049,0.00049,42.34,42.34,TRESCA
342,2459556.4875707314,0.00064,0.00064,55.3,55.3,TRESCA
352,2459571.308770736,0.0004,0.0004,34.56,34.56,TRESCA
425,2459679.51397076,0.00044,0.00044,38.02,38.02,TRESCA
433,2459691.372420759,0.00052,0.00052,44.93,44.93,TRESCA
537,2459845.513720722,0.00053,0.00053,45.79,45.79,TRESCA
